Index, Environment (-), Phenotype, Random Number Generator Seed (-),shootDryWeight (g),rootDryWeight (g),rootDryWeight;fineLaterals (g),rootDryWeight;laterals (g),rootDryWeight;majorAxes (g),rootLength (cm),rootLength;fineLaterals (cm),rootLength;laterals (cm),rootLength;majorAxes (cm),rootSurfaceArea (cm2),rootSurfaceArea;fineLaterals (cm2),rootSurfaceArea;laterals (cm2),rootSurfaceArea;majorAxes (cm2),rootWaterUptake (cm3),potentialTranspiration (cm3),potentialTranspiration (cm),potentialTranspiration_Rate (cm3/day),potentialEvaporation (cm/day),potentialEvaporation_Integral (cm),leafArea (cm2),leafAreaReductionCoefficient (-),photosynthesis (g),plantRespiration (g),shootRespiration (g),rootRespiration (g),rootCarbonCostOfExudates (g),rootCarbonCosts (g),rootPotentialCarbonSinkForGrowth (g),carbonAllocation2Roots (g),shootPotentialCarbonSinkForGrowth (g),carbonAllocation2Shoot (g),leafPotentialCarbonSinkForGrowth (g),carbonAllocation2Leafs (g),stemPotentialCarbonSinkForGrowth (g),carbonAllocation2Stems (g),carbonReserves (g),D90 (cm),RootLengthProfile_00-10 (cm3),RootLengthProfile_10-20 (cm3),RootLengthProfile_20-30 (cm3),RootLengthProfile_30-40 (cm3),RootLengthProfile_40-50 (cm3),RootLengthProfile_50-60 (cm3),RootLengthProfile_60-70 (cm3),RootLengthProfile_70-80 (cm3),RootLengthProfile_80-90 (cm3),RootLengthProfile_90-100 (cm3),RootLengthProfile_100-110 (cm3),RootLengthProfile_110-120 (cm3),RootLengthProfile_120-130 (cm3),RootLengthProfile_130-140 (cm3),RootLengthProfile_140-150 (cm3),RootDryWeightProfile_00-10 (cm3),RootDryWeightProfile_10-20 (cm3),RootDryWeightProfile_20-30 (cm3),RootDryWeightProfile_30-40 (cm3),RootDryWeightProfile_40-50 (cm3),RootDryWeightProfile_50-60 (cm3),RootDryWeightProfile_60-70 (cm3),RootDryWeightProfile_70-80 (cm3),RootDryWeightProfile_80-90 (cm3),RootDryWeightProfile_90-100 (cm3),RootDryWeightProfile_100-110 (cm3),RootDryWeightProfile_110-120 (cm3),RootDryWeightProfile_120-130 (cm3),RootDryWeightProfile_130-140 (cm3),RootDryWeightProfile_140-150 (cm3),RootRespirationProfile_00-10 (cm3),RootRespirationProfile_10-20 (cm3),RootRespirationProfile_20-30 (cm3),RootRespirationProfile_30-40 (cm3),RootRespirationProfile_40-50 (cm3),RootRespirationProfile_50-60 (cm3),RootRespirationProfile_60-70 (cm3),RootRespirationProfile_70-80 (cm3),RootRespirationProfile_80-90 (cm3),RootRespirationProfile_90-100 (cm3),RootRespirationProfile_100-110 (cm3),RootRespirationProfile_110-120 (cm3),RootRespirationProfile_120-130 (cm3),RootRespirationProfile_130-140 (cm3),RootRespirationProfile_140-150 (cm3),RootExudationProfile_00-10 (cm3),RootExudationProfile_10-20 (cm3),RootExudationProfile_20-30 (cm3),RootExudationProfile_30-40 (cm3),RootExudationProfile_40-50 (cm3),RootExudationProfile_50-60 (cm3),RootExudationProfile_60-70 (cm3),RootExudationProfile_70-80 (cm3),RootExudationProfile_80-90 (cm3),RootExudationProfile_90-100 (cm3),RootExudationProfile_100-110 (cm3),RootExudationProfile_110-120 (cm3),RootExudationProfile_120-130 (cm3),RootExudationProfile_130-140 (cm3),RootExudationProfile_140-150 (cm3),RootWaterUptakeProfile_00-10 (cm3),RootWaterUptakeProfile_10-20 (cm3),RootWaterUptakeProfile_20-30 (cm3),RootWaterUptakeProfile_30-40 (cm3),RootWaterUptakeProfile_40-50 (cm3),RootWaterUptakeProfile_50-60 (cm3),RootWaterUptakeProfile_60-70 (cm3),RootWaterUptakeProfile_70-80 (cm3),RootWaterUptakeProfile_80-90 (cm3),RootWaterUptakeProfile_90-100 (cm3),RootWaterUptakeProfile_100-110 (cm3),RootWaterUptakeProfile_110-120 (cm3),RootWaterUptakeProfile_120-130 (cm3),RootWaterUptakeProfile_130-140 (cm3),RootWaterUptakeProfile_140-150 (cm3),totalWaterInColumn (cm3),totalWaterInLayer1 (cm3),totalWaterInLayer2 (cm3),totalWaterInLayer3 (cm3),totalWaterInLayer4 (cm3),totalWaterInLayer5 (cm3),totalWaterInLayer6 (cm3),totalWaterInLayer7 (cm3),totalWaterInLayer8 (cm3),totalWaterInLayer9 (cm3),totalWaterInLayer10 (cm3),totalWaterInLayer11 (cm3),totalWaterInLayer12 (cm3),totalWaterInLayer13 (cm3),totalWaterInLayer14 (cm3),totalWaterInLayer15 (cm3),relativeWaterContentInTopLayer (cm3),bottomBoundaryFlux (cm3),topBoundaryFlux (cm3),totalWaterChangeInColumn (cm3)
0_0_0, Iowa Well Watered, Default,0,24.76581767,4.26514613,0,1.00475391,0.18627789,10310.92125,0,8505.933551,361.9213173,1803.241879,0,1068.887134,94.14017574,6197.987295,5677.438933,0.0329989,1185.457115,0.41725156,26.35489885,3327.572001,0.8196637,40.80311739,9.27980891,7.85643967,1.42336924,0.62703858,0.62703858,1.80797777,1.80525145,11.14550492,11.13485275,4.7307735,4.73602602,6.40912845,6.40859628,17.00638044,-31.17577328,3883.373223,3380.073128,1867.767047,812.7628264,301.9188085,62.88491716,2.14129683,0,0,0,0,0,0,0,0,2.43052382,1.05393618,0.439853,0.21101419,0.09782946,0.03084729,0.00114217,0,0,0,0,0,0,0,0,0.78559786,0.35463514,0.16491038,0.07605506,0.03211652,0.00997416,0.00031515,0,0,0,0,0,0,0,0,0.24799154,0.21568099,0.10812478,0.04049401,0.01201872,0.00266444,7.39E-05,0,0,0,0,0,0,0,0,2468.367327,1943.530638,937.4162713,388.3666844,128.7660978,28.47308141,0.58103179,0,0,0,0,0,0,0,0,51635.01483,3447.273141,3553.785717,3843.70888,3785.222112,3706.688189,3718.396012,3721.11366,3583.543024,3326.519235,3111.027697,3093.221489,3108.648371,3113.72877,3108.82417,3413.314366,0.60894642,-1249.081469,5597.779267,-1975.56507
0_0_1, Iowa Well Watered, Default,1,24.90022302,4.22945937,0,1.008387,0.18975417,10333.48822,0,8536.690188,368.4076414,1799.222736,0,1072.752127,95.87683446,6197.716677,5686.706241,0.03316312,1181.458571,0.4180011,26.34527968,3343.734611,0.82316167,40.9512761,9.31004202,7.89621324,1.41382878,0.6307419,0.63074163,1.78418077,1.78350717,11.20595404,11.19308594,4.75577254,4.76177374,6.44384376,6.44333106,17.04282227,-31.42932695,4041.818958,3370.014655,1712.353148,811.6246297,330.4045795,64.31201658,2.96023035,0,0,0,0,0,0,0,0,2.47185166,1.0062345,0.4133989,0.21088496,0.09222592,0.0331576,0.00170585,0,0,0,0,0,0,0,0,0.79160589,0.34595954,0.15957192,0.0746232,0.03045114,0.01162913,0.00021254,0,0,0,0,0,0,0,0,0.25626027,0.21360483,0.10341856,0.042113,0.01225989,0.00305366,4.11E-05,0,0,0,0,0,0,0,0,2502.35565,1926.612544,923.1705596,387.2210502,126.9445957,32.0771139,0.34612089,0,0,0,0,0,0,0,0,51636.11304,3446.538874,3553.514521,3843.858779,3785.409269,3706.832774,3718.529083,3721.268208,3583.741658,3326.742786,3111.236518,3093.404937,3108.80948,3113.866033,3108.93835,3413.421774,0.60875696,-1249.137759,5591.958846,-1974.46686
0_0_2, Iowa Well Watered, Default,2,24.77516456,4.1835687,0,1.0008817,0.18970748,10282.19785,0,8473.152628,368.1867113,1788.698679,0,1064.767762,95.83842394,6192.473081,5667.533644,0.03295597,1180.129635,0.4184989,26.38339438,3322.57818,0.8185829,40.85043678,9.24806813,7.84141131,1.40665682,0.62876324,0.62876297,1.77381886,1.77078759,11.14964206,11.13996827,4.73268111,4.7381719,6.41114805,6.41065652,17.06924574,-31.59205859,3990.048505,3241.755132,1823.642289,836.2065639,326.5509633,61.5424448,2.45195029,0,0,0,0,0,0,0,0,2.42285982,0.98013063,0.42769939,0.22052915,0.09949886,0.03154297,0.00130788,0,0,0,0,0,0,0,0,0.78093378,0.34003958,0.16474893,0.07771697,0.03262409,0.01050033,0.00031726,0,0,0,0,0,0,0,0,0.25746864,0.2065337,0.10665439,0.0424721,0.01274671,0.00282366,7.35E-05,0,0,0,0,0,0,0,0,2520.239535,1873.941882,944.8993299,392.7219506,131.6402808,30.17915312,0.54648989,0,0,0,0,0,0,0,0,51630.79003,3447.20874,3553.735932,3843.420488,3784.699057,3706.13941,3717.900419,3720.681498,3583.151045,3326.175831,3110.755148,3093.002716,3108.463094,3113.572396,3108.693585,3413.19067,0.60892669,-1249.018346,5593.218751,-1979.789877
0_0_3, Iowa Well Watered, Default,3,24.4850233,4.19643504,0,0.99774685,0.18347653,10253.99036,0,8446.614038,356.6637308,1785.144856,0,1061.432824,92.7373643,6134.027847,5622.115109,0.03263358,1183.502227,0.41535811,26.3688176,3291.746608,0.8119102,40.51426432,9.17219628,7.77673262,1.39546366,0.61213529,0.61213369,1.77191827,1.77153058,11.01918014,11.00621724,4.67565447,4.68255894,6.33625902,6.33570552,17.00697676,-29.98936217,4020.044659,3454.158161,1735.703509,741.8697836,262.0704337,40.14381658,0,0,0,0,0,0,0,0,0,2.44768054,1.01989248,0.41308547,0.20859799,0.08772038,0.01945817,0,0,0,0,0,0,0,0,0,0.79033018,0.34556502,0.15410307,0.07117078,0.02755224,0.00697815,0,0,0,0,0,0,0,0,0,0.25642552,0.21058982,0.09695192,0.03624115,0.00993878,0.00199804,0,0,0,0,0,0,0,0,0,2601.94625,1883.052782,865.2723505,353.9246893,107.9967192,20.75742611,0,0,0,0,0,0,0,0,0,51717.83836,3457.494693,3561.647038,3851.196597,3792.88223,3713.864164,3725.695472,3728.267012,3590.290369,3332.374392,3115.459429,3096.521659,3111.232146,3115.754583,3110.408269,3414.75031,0.61146285,-1249.677041,5598.621588,-1892.741541
0_0_4, Iowa Well Watered, Default,4,24.77516695,4.26734029,0,1.01585583,0.18956318,10417.62864,0,8599.918995,367.7915766,1814.698646,0,1080.697693,95.75171541,6201.309488,5685.435169,0.03294367,1184.435126,0.41882202,26.39357407,3321.155278,0.81827497,40.86299164,9.26094942,7.83315287,1.42779655,0.63818839,0.63818811,1.81793929,1.81512348,11.14963968,11.14066334,4.73316739,4.73805946,6.41125897,6.41077005,17.04185676,-31.17797492,3955.381957,3445.605552,1815.333944,831.0141748,309.7371903,60.55581946,0,0,0,0,0,0,0,0,0,2.44973745,1.04515602,0.4299143,0.217499,0.09376489,0.03126863,0,0,0,0,0,0,0,0,0,0.79069143,0.35591991,0.16417187,0.07605277,0.03133902,0.00984943,0,0,0,0,0,0,0,0,0,0.25403386,0.21990388,0.10783885,0.04209587,0.01170937,0.00261604,0,0,0,0,0,0,0,0,0,2495.279411,1944.542883,932.2328248,382.1315824,122.3389873,26.22224826,0,0,0,0,0,0,0,0,0,51630.5186,3444.808162,3552.211307,3842.754512,3784.568957,3706.424605,3718.415014,3721.222649,3583.683116,3326.683148,3111.203855,3093.40098,3108.824513,3113.892044,3108.96924,3413.456497,0.60832677,-1249.159242,5595.078095,-1980.061304
0_1_0, Iowa Well Watered, Cheap Deep Steep,0,21.37620285,2.66115954,0,0.53842144,0.15794945,7084.414726,0,4558.108151,316.9989016,1162.725504,0,572.7887632,80.9053355,5143.42654,4602.174788,0.02887553,1163.41112,0.38489455,26.50241233,2928.713648,0.73333984,34.76181514,7.80899236,7.01139384,0.79759852,0.49273137,0.49273099,0.81623871,0.86526825,9.62009962,9.55991144,4.0330102,4.09028988,5.52957807,5.52898323,15.42823977,-43.99938925,1767.896577,2276.831672,1407.317621,682.495065,377.5847864,281.6037927,182.9285656,84.12368027,23.63296641,0,0,0,0,0,0,1.07488158,0.77665165,0.32744394,0.19566402,0.11709384,0.07155457,0.05283279,0.03173181,0.01330534,0,0,0,0,0,0,0.32541131,0.2021507,0.12026329,0.06349237,0.0354086,0.0222196,0.01632021,0.00945323,0.00312681,0,0,0,0,0,0,0.12327539,0.1710114,0.10289856,0.04577394,0.02309424,0.01470656,0.00797495,0.00325122,0.00076054,0,0,0,0,0,0,1278.569216,1458.339141,950.7453492,535.1725989,308.441537,179.1574276,101.4259719,42.67863386,9.84305666,0,0,0,0,0,0,52553.69128,3723.891095,3741.922422,3964.544932,3874.324009,3769.428042,3766.968069,3762.246896,3619.205469,3354.669738,3128.702546,3102.368257,3112.497619,3114.294495,3107.54,3411.087693,0.67613244,-1247.167693,5406.099826,-1056.888624
0_1_1, Iowa Well Watered, Cheap Deep Steep,1,22.81758755,2.7302263,0,0.59026966,0.1687869,8202.755471,0,4997.039067,338.8993378,1273.37992,0,627.9464488,86.51337768,5366.667986,4800.329085,0.03074813,1192.708245,0.39062713,26.31864939,3115.274544,0.7737163,36.26964141,8.29177083,7.45844449,0.83332635,0.58947804,0.58947791,0.78686853,0.84159431,10.26863186,10.2009473,4.2972927,4.36480724,5.90362688,5.90308986,15.63775316,-45.82449014,1888.233945,2646.736683,1755.172155,759.6520053,395.0660163,323.3180124,244.8370353,134.3353885,51.51032601,3.8939044,0,0,0,0,0,1.08265412,0.77143573,0.34557359,0.20969155,0.1120525,0.0817631,0.05714417,0.04250793,0.02532659,0.00207702,0,0,0,0,0,0.32736961,0.20740738,0.12864112,0.06860983,0.03638273,0.02615717,0.01828661,0.0131804,0.00694806,0.00059561,0,0,0,0,0,0.13312418,0.20337797,0.13489341,0.05319421,0.02627573,0.01909496,0.01185131,0.00551992,0.00200956,0.00015363,0,0,0,0,0,1277.561889,1452.815648,986.309068,572.6866106,326.1870963,217.0329539,130.3876042,68.80980754,25.6155428,1.74172927,0,0,0,0,0,52312.941,3689.358152,3717.048193,3945.52842,3857.134386,3753.760509,3749.633282,3743.155957,3599.390295,3336.138659,3113.888072,3090.891039,3103.213636,3106.791218,3101.504083,3405.505096,0.66794673,-1244.735689,5395.914705,-1297.638909
0_1_2, Iowa Well Watered, Cheap Deep Steep,2,21.91937184,2.61094027,0,0.57873253,0.16489504,8017.306916,0,4899.369296,331.1671416,1238.751497,0,615.6729035,84.51532214,5320.71555,4713.784853,0.02952412,1173.324189,0.38733207,26.42010857,2993.108084,0.74727642,35.65134048,7.96572819,7.16679132,0.79893686,0.57106747,0.57106737,0.75070236,0.8055864,9.86450987,9.79779519,4.13327453,4.19400223,5.67028057,5.66969702,15.86859191,-45.56340494,2097.294812,2512.367489,1598.58045,685.9544163,406.2737842,317.0137039,237.8246295,117.1586014,40.59024647,4.24878302,0,0,0,0,0,1.08198589,0.70715759,0.32455551,0.18302554,0.1130599,0.07643889,0.06008613,0.0428135,0.01950444,0.00231289,0,0,0,0,0,0.32503419,0.19494914,0.11928288,0.06138079,0.0362688,0.02452728,0.01955732,0.0124655,0.00515451,0.00053777,0,0,0,0,0,0.14855532,0.19033225,0.12159366,0.04857258,0.02673186,0.01796841,0.01109443,0.0046836,0.00141637,0.00013607,0,0,0,0,0,1311.077951,1433.582956,969.5378366,546.2399771,332.2084277,211.7196012,128.2087447,60.634008,17.66187538,1.49904743,0,0,0,0,0,52392.76362,3706.016255,3728.960622,3954.365239,3864.693881,3759.841132,3755.192519,3748.479106,3604.414155,3340.456817,3116.935765,3092.885421,3104.578542,3107.733751,3102.159135,3406.051278,0.67190459,-1244.829289,5437.165617,-1217.816286
0_1_3, Iowa Well Watered, Cheap Deep Steep,3,22.27698793,2.77251333,0,0.63986105,0.16836381,10158.53278,0,5416.864303,339.2284731,1438.153314,0,680.703244,86.4325319,5423.372469,4834.875723,0.02987491,1187.540829,0.3898617,26.37515377,3027.189438,0.75465255,36.31002158,8.10745384,7.23958603,0.86786781,0.74644229,0.74644043,0.76802123,0.83359128,10.02534749,9.94942328,4.20832152,4.26176889,5.76339243,5.76285626,16.04283952,-41.96804155,2515.040433,3301.572852,2279.121976,833.0457087,435.5646051,327.1744757,247.0367321,153.0660907,59.00129138,7.90861934,0,0,0,0,0,1.09728962,0.74821934,0.3783512,0.20637018,0.11967241,0.08177599,0.06122899,0.04653466,0.02858027,0.00449066,0,0,0,0,0,0.32943294,0.21663,0.14193635,0.06980097,0.03929759,0.02690779,0.02025247,0.01480413,0.00821204,0.00083417,0,0,0,0,0,0.17824323,0.25973464,0.17698273,0.06009268,0.02962803,0.01978117,0.01282563,0.00655442,0.00242898,0.00019145,0,0,0,0,0,1251.418044,1470.071618,1010.19986,572.5412797,341.4306979,222.6587791,139.7601955,78.57291605,29.58972574,2.03370961,0,0,0,0,0,52255.52746,3683.017437,3712.407851,3941.956778,3853.971747,3750.871887,3746.340392,3739.192122,3594.806506,3331.28471,3109.41905,3086.967245,3099.711472,3103.726432,3098.876686,3402.977145,0.66644325,-1243.52837,5427.554192,-1355.052443
0_1_4, Iowa Well Watered, Cheap Deep Steep,4,22.43237023,2.6982947,0,0.59369946,0.16594956,8544.514708,0,5026.074679,333.9097656,1292.063992,0,631.5951715,85.13222947,5292.198804,4727.237617,0.03025759,1185.878549,0.3885743,26.36675955,3066.744529,0.7632132,35.78928396,8.15796452,7.33306646,0.82489806,0.60521582,0.6052155,0.77184776,0.82865187,10.0953589,10.02586048,4.22543325,4.2908212,5.80431215,5.80372683,15.48332631,-43.18966921,2272.647895,2914.624078,1531.41096,734.3338387,387.6228935,326.9590931,224.4120462,124.0926527,28.41124997,0,0,0,0,0,0,1.08867721,0.78720482,0.3161128,0.20067364,0.10580877,0.0816644,0.05952966,0.0443886,0.0142348,0,0,0,0,0,0,0.33102968,0.21441701,0.1171141,0.06673733,0.03428658,0.02635426,0.0188952,0.0120698,0.00424285,0,0,0,0,0,0,0.1562582,0.22147502,0.11658119,0.05210978,0.02462838,0.01773847,0.01054665,0.00463439,0.00126295,0,0,0,0,0,0,1310.777928,1494.377143,922.9066021,562.9896509,309.1258381,206.8666732,117.6924073,58.04003999,15.96059914,0,0,0,0,0,0,52394.39061,3696.62739,3722.581174,3950.63093,3862.371997,3758.946248,3755.694523,3750.042339,3606.871631,3343.620623,3120.235296,3096.032549,3107.532265,3110.399354,3104.488883,3408.315413,0.66966984,-1246.162925,5401.190412,-1216.189289
